player_id,x,y
1,62.8,17.85
1,68.49,10.69
1,80.82,0.0
1,59.52,3.79
1,72.58,0.0
1,88.16,14.68
1,76.74,17.54
1,90.22,14.82
1,88.74,3.34
1,74.1,14.72
1,43.62,6.83
1,59.62,0.0
1,83.92,20.16
1,53.85,21.0
1,69.75,22.44
1,78.4,5.31
1,93.1,24.97
1,66.52,6.57
1,65.63,19.19
1,73.32,6.38
1,78.56,9.54
1,71.99,0.0
1,87.64,8.68
1,63.61,13.0
1,75.56,7.49
1,79.79,31.32
1,68.8,0.0
1,84.92,5.8
1,75.94,2.05
1,84.25,5.8
1,76.52,23.35
1,78.89,28.26
1,65.78,4.29
1,65.8,4.05
1,89.92,0.0
1,82.26,26.37
1,60.7,24.33
1,76.35,10.83
1,43.14,0.0
1,66.54,0.0
1,86.49,13.88
1,72.37,18.04
1,75.53,0.0
1,34.79,8.47
1,68.9,29.8
1,78.4,9.61
1,80.05,28.39
1,86.51,19.14
1,71.27,0.07
1,71.85,8.78
1,56.68,10.58
1,71.34,1.52
1,57.6,1.33
1,49.98,28.57
1,59.89,1.25
1,93.61,23.86
1,70.48,7.2
1,76.86,11.72
1,67.32,18.18
1,50.72,5.42
1,86.17,18.25
1,45.76,0.0
1,66.79,16.84
1,73.29,0.0
1,77.0,9.5
1,64.56,21.4
1,50.11,18.85
1,63.59,0.0
1,64.27,0.0
1,63.95,4.42
1,86.61,14.05
1,58.22,0.0
1,77.91,11.85
1,76.06,15.43
1,86.49,8.89
1,72.27,17.78
1,84.28,14.46
1,71.76,6.04
1,79.65,0.0
1,54.46,13.47
1,39.7,1.52
1,78.91,5.64
1,79.61,17.27
1,80.18,27.59
1,67.18,11.58
1,93.37,18.09
1,68.02,0.0
1,79.47,14.7
1,81.73,11.34
1,96.34,25.52
1,69.88,6.05
1,65.51,9.34
1,54.52,23.65
1,94.18,10.99
1,79.48,0.0
1,79.89,40.07
1,105.0,0.14
1,78.23,11.29
1,57.07,15.81
1,71.45,14.94
1,61.33,9.91
1,68.85,9.97
1,68.77,9.42
1,66.37,0.0
1,55.89,35.65
1,94.7,9.58
1,77.89,18.57
1,71.07,8.32
1,83.85,8.1
1,80.12,6.99
1,77.58,0.0
1,82.9,10.23
1,75.74,7.52
1,82.71,24.89
1,83.79,0.0
1,76.12,5.65
1,71.13,2.12
1,93.9,27.87
1,67.79,2.44
1,79.09,18.19
1,79.38,22.67
1,66.08,10.39
1,63.5,0.0
1,69.4,0.0
1,67.6,21.46
1,55.04,0.0
1,65.53,16.31
1,77.46,13.26
1,90.46,16.15
1,81.21,17.19
1,40.21,1.73
1,82.34,1.27
1,66.74,19.86
1,79.89,5.08
1,73.82,0.0
1,71.5,19.14
1,72.67,0.6
1,73.71,17.14
1,91.48,27.32
1,73.74,12.18
1,88.11,22.95
1,86.22,13.69
1,82.67,29.46
1,50.77,0.32
1,88.52,11.91
1,68.05,19.4
1,83.3,9.91
